"('rating', '4.6')","('reviews_count', '51 review')","('location', 'Unter den Linden 77, 10117 Berlin')","('contact', '030 22611960')","('website', 'kempinski.com')","('Time', {'Monday': 'NA', 'Tuesday': 'NA', 'Wednesday': 'NA', 'Thursday': 'NA', 'Friday': 'NA', 'Saturday': 'NA', 'Sunday': 'NA'})","('Reviews', [])","('Popular Times', {'Monday': [], 'Tuesday': [], 'Wednesday': [], 'Thursday': [], 'Friday': [], 'Saturday': [], 'Sunday': []})"
"('rating', '4.8')","('reviews_count', '70 review')","('location', 'Köpenicker Str. 159, 10997 Berlin')","('contact', '030 93916021')","('website', 'harimoksh-restaurant.com')","('Time', {'Monday': 'NA', 'Tuesday': 'NA', 'Wednesday': 'NA', 'Thursday': 'NA', 'Friday': 'NA', 'Saturday': 'NA', 'Sunday': 'NA'})","('Reviews', [])","('Popular Times', {'Monday': [], 'Tuesday': [], 'Wednesday': [], 'Thursday': [], 'Friday': [], 'Saturday': [], 'Sunday': []})"
"('rating', '4.6')","('reviews_count', '55 review')","('location', 'Rudi-Dutschke-Straße 26, 10969 Berlin')","('contact', '030 25937930')","('website', 'tim-raue.com')","('Time', {'Monday': 'NA', 'Tuesday': 'NA', 'Wednesday': 'NA', 'Thursday': 'NA', 'Friday': 'NA', 'Saturday': 'NA', 'Sunday': 'NA'})","('Reviews', [])","('Popular Times', {'Monday': [], 'Tuesday': [], 'Wednesday': [], 'Thursday': [], 'Friday': [], 'Saturday': [], 'Sunday': []})"
"('rating', '4.5')","('reviews_count', '26 review')","('location', 'Motzstraße 34, 10777 Berlin')","('contact', '030 21018101')","('website', 'sissi-berlin.de')","('Time', {'Monday': 'NA', 'Tuesday': 'NA', 'Wednesday': 'NA', 'Thursday': 'NA', 'Friday': 'NA', 'Saturday': 'NA', 'Sunday': 'NA'})","('Reviews', [])","('Popular Times', {'Monday': [], 'Tuesday': [], 'Wednesday': [], 'Thursday': [], 'Friday': [], 'Saturday': [], 'Sunday': []})"
"('rating', '4.5')","('reviews_count', '32 review')","('location', 'Motzstraße 28, 10777 Berlin')","('contact', '030 20859305')","('website', 'instagram.com')","('Time', {'Monday': 'NA', 'Tuesday': 'NA', 'Wednesday': 'NA', 'Thursday': 'NA', 'Friday': 'NA', 'Saturday': 'NA', 'Sunday': 'NA'})","('Reviews', [])","('Popular Times', {'Monday': [], 'Tuesday': [], 'Wednesday': [], 'Thursday': [], 'Friday': [], 'Saturday': [], 'Sunday': []})"
"('rating', '4.5')","('reviews_count', '04 review')","('location', 'Paul-Lincke-Ufer 21, 10999 Berlin')","('contact', '030 338402320')","('website', 'restaurant-volt.de')","('Time', {'Monday': 'NA', 'Tuesday': 'NA', 'Wednesday': 'NA', 'Thursday': 'NA', 'Friday': 'NA', 'Saturday': 'NA', 'Sunday': 'NA'})","('Reviews', [])","('Popular Times', {'Monday': [], 'Tuesday': [], 'Wednesday': [], 'Thursday': [], 'Friday': [], 'Saturday': [], 'Sunday': []})"
"('rating', '4.4')","('reviews_count', '74 review')","('location', 'Potsdamer Straße 91, 10785 Berlin')","('contact', '030 983208435')","('website', 'oh-panama.com')","('Time', {'Monday': 'NA', 'Tuesday': 'NA', 'Wednesday': 'NA', 'Thursday': 'NA', 'Friday': 'NA', 'Saturday': 'NA', 'Sunday': 'NA'})","('Reviews', [])","('Popular Times', {'Monday': [], 'Tuesday': [], 'Wednesday': [], 'Thursday': [], 'Friday': [], 'Saturday': [], 'Sunday': []})"
"('rating', '4.4')","('reviews_count', '44 review')","('location', 'Reichenberger Str. 122, 10999 Berlin')","('contact', '030 54821866')","('website', 'bastard-berlin.de')","('Time', {'Monday': 'NA', 'Tuesday': 'NA', 'Wednesday': 'NA', 'Thursday': 'NA', 'Friday': 'NA', 'Saturday': 'NA', 'Sunday': 'NA'})","('Reviews', [])","('Popular Times', {'Monday': [], 'Tuesday': [], 'Wednesday': [], 'Thursday': [], 'Friday': [], 'Saturday': [], 'Sunday': []})"
"('rating', '4.2')","('reviews_count', '42 review')","('location', 'Carl-Herz-Ufer 9, 10961 Berlin')","('contact', '030 60059888')","('website', 'ahorn.berlin')","('Time', {'Monday': 'NA', 'Tuesday': 'NA', 'Wednesday': 'NA', 'Thursday': 'NA', 'Friday': 'NA', 'Saturday': 'NA', 'Sunday': 'NA'})","('Reviews', [])","('Popular Times', {'Monday': [], 'Tuesday': [], 'Wednesday': [], 'Thursday': [], 'Friday': [], 'Saturday': [], 'Sunday': []})"
"('rating', '4.4')","('reviews_count', '95 review')","('location', 'Neue Roßstraße 11-12, 10179 Berlin')","('contact', '030 24083280')","('website', 'canarestaurant.de')","('Time', {'Monday': 'NA', 'Tuesday': 'NA', 'Wednesday': 'NA', 'Thursday': 'NA', 'Friday': 'NA', 'Saturday': 'NA', 'Sunday': 'NA'})","('Reviews', [])","('Popular Times', {'Monday': [], 'Tuesday': [], 'Wednesday': [], 'Thursday': [], 'Friday': [], 'Saturday': [], 'Sunday': []})"
